wl,f198,f207,f464,f465,f441,f442,f423,f420,f413,f406,f397,f395,f394,f393,f384,f367,f366,f354,f347,f342,f334,f328,f330,f305,f240,f212,f252,f274,f299,f284,m32m,m214,m203,m187,m175,m112,m78m,m452,m455,m440,m425,m412,m411,m409,m407,m404,m359,m357,m326,m320,m315,m308,m304,m265,m262,m250,m232,m231,m223,m215
617.8,57.792,59.186,65.263,56.691,60.336,63.987,58.185,57.696,62.516,63.596,61.268,57.073,63.365,61.142,60.222,58.798,61.98,59.15,60.327,51.826,60.249,56.031,60.386,50.842,59.792,59.695,60.47,59.481,58.738,52.511,66.255,66.496,68.89,67.93,66.458,67.64,67.5,66.275,66.459,65.273,68.065,68.65,68.283,69.967,69.243,67.651,67.59,68.991,68.405,67.591,69.732,67.61,69.428,67.166,70.305,67.984,67.158,66.424,69.445,68.1
617.99,57.807,59.153,65.246,56.686,60.354,63.972,58.163,57.72,62.513,63.605,61.324,57.055,63.356,61.134,60.214,58.815,61.959,59.156,60.315,51.82,60.257,56.033,60.378,50.862,59.806,59.707,60.484,59.469,58.724,52.511,66.211,66.471,68.918,67.9,66.469,67.66,67.503,66.288,66.475,65.266,68.093,68.697,68.286,69.981,69.266,67.641,67.605,69.014,68.396,67.587,69.723,67.601,69.457,67.181,70.337,67.986,67.191,66.425,69.414,68.087
618.18,57.816,59.156,65.237,56.655,60.376,64.016,58.186,57.709,62.506,63.58,61.297,57.052,63.365,61.149,60.247,58.821,61.942,59.111,60.304,51.8,60.211,56.051,60.365,50.839,59.798,59.717,60.473,59.477,58.718,52.511,66.2,66.463,68.921,67.907,66.453,67.621,67.51,66.309,66.481,65.271,68.077,68.707,68.299,69.98,69.236,67.638,67.585,69.008,68.4,67.574,69.729,67.622,69.425,67.185,70.349,68,67.173,66.41,69.415,68.118
618.37,57.827,59.185,65.265,56.677,60.351,64.022,58.186,57.75,62.465,63.595,61.299,57.049,63.345,61.158,60.215,58.833,61.954,59.086,60.338,51.79,60.225,56.045,60.389,50.84,59.831,59.71,60.457,59.451,58.717,52.514,66.23,66.439,68.894,67.894,66.466,67.679,67.502,66.3,66.484,65.253,68.076,68.731,68.304,69.97,69.263,67.657,67.608,69.025,68.406,67.571,69.742,67.625,69.427,67.216,70.338,68.027,67.183,66.413,69.41,68.153
618.56,57.812,59.172,65.313,56.679,60.381,64.033,58.14,57.755,62.446,63.606,61.313,57.036,63.336,61.135,60.219,58.833,61.925,59.106,60.349,51.77,60.198,56.044,60.376,50.862,59.838,59.708,60.48,59.465,58.728,52.537,66.229,66.45,68.902,67.887,66.483,67.708,67.493,66.336,66.487,65.24,68.063,68.733,68.337,69.978,69.268,67.642,67.636,69.012,68.412,67.594,69.729,67.622,69.446,67.234,70.338,68.054,67.181,66.404,69.396,68.17
618.75,57.819,59.154,65.311,56.682,60.361,64.042,58.128,57.748,62.447,63.597,61.312,57.035,63.343,61.166,60.206,58.821,61.913,59.083,60.358,51.766,60.226,56.021,60.351,50.859,59.825,59.742,60.498,59.498,58.713,52.525,66.226,66.456,68.895,67.899,66.49,67.716,67.512,66.318,66.468,65.232,68.062,68.704,68.324,69.955,69.28,67.642,67.64,69.019,68.414,67.56,69.754,67.626,69.454,67.21,70.334,68.076,67.148,66.413,69.407,68.187
618.94,57.81,59.145,65.343,56.67,60.371,64.052,58.105,57.745,62.448,63.615,61.295,57.033,63.32,61.164,60.232,58.836,61.909,59.092,60.375,51.744,60.22,56.032,60.393,50.853,59.829,59.743,60.499,59.506,58.715,52.507,66.216,66.454,68.886,67.873,66.523,67.688,67.493,66.304,66.449,65.227,68.07,68.695,68.336,69.928,69.279,67.661,67.663,69.011,68.443,67.54,69.767,67.64,69.485,67.214,70.34,68.104,67.122,66.376,69.41,68.176
619.13,57.828,59.148,65.357,56.666,60.397,64.027,58.102,57.718,62.439,63.623,61.293,57.021,63.304,61.129,60.205,58.869,61.897,59.061,60.379,51.749,60.219,56.031,60.394,50.85,59.853,59.72,60.488,59.501,58.722,52.519,66.215,66.434,68.908,67.867,66.527,67.711,67.498,66.298,66.454,65.216,68.071,68.684,68.326,69.945,69.301,67.66,67.66,69.012,68.498,67.528,69.771,67.648,69.478,67.239,70.372,68.11,67.105,66.343,69.411,68.148
619.32,57.823,59.16,65.392,56.671,60.403,64.008,58.076,57.719,62.389,63.6,61.279,56.984,63.282,61.144,60.199,58.894,61.897,59.071,60.383,51.72,60.229,56.014,60.393,50.86,59.825,59.743,60.479,59.519,58.706,52.502,66.208,66.486,68.939,67.868,66.545,67.732,67.509,66.325,66.438,65.202,68.046,68.666,68.338,69.978,69.308,67.656,67.669,69.032,68.523,67.502,69.778,67.648,69.515,67.256,70.396,68.089,67.102,66.349,69.395,68.169
619.51,57.814,59.153,65.371,56.669,60.409,64.007,58.05,57.708,62.394,63.6,61.263,56.981,63.244,61.132,60.222,58.902,61.879,59.074,60.375,51.699,60.24,56.011,60.379,50.85,59.849,59.768,60.473,59.507,58.695,52.478,66.178,66.472,68.936,67.854,66.541,67.749,67.53,66.338,66.435,65.22,68.036,68.698,68.339,69.984,69.306,67.669,67.668,69.017,68.514,67.505,69.733,67.653,69.506,67.279,70.413,68.093,67.101,66.359,69.403,68.166
